0:0:0.450827 -- LOG:  Vendor: NVIDIA Corporation
0:0:10.710665 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.71146 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.711286 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.72677 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.726383 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.726735 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.72711 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.727171 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.727294 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.742568 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.742984 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.743200 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.743389 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.743555 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.743672 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.75968 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.759445 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.759791 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.76025 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.760263 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.760449 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.775672 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.77647 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.776277 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.776552 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.776839 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.7777 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.792496 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.792664 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.792789 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.792939 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.793162 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.793298 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.808848 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
